岗位名称,公司名称,薪资范围,工作城市,经验要求,学历要求,公司性质,公司规模,公司行业,公司标签,职位描述
数据分析与开发（AI技术岗）,龙禹石油,1-1.5万,北京·东城·和平里,3-5年,本科,数据挖掘,数据治理,国企,,职位描述 1. 龙禹总部机关及下级分公司、加能站的网络运维及网络安全工作；2. 协助各业务部门进行BI分析开发、RPA工具开发；3. 维护数据仓库集市层（DWD/DWS），开发自动化数据清洗脚本；（Python/SQL），确保分析数据源的准确性与时效性；4. 构建预测模型：使用Python（Sklearn）开发LTV预测、风险评分卡等模型，支持业务前瞻性决策；5. 开发交互式数据看板（Tableau/Power BI），实时监控业务健康度，异常数据自动预警；6. 负责公司数据仓库及报表集市的搭建。包括源系统调研(业务流程梳理)、仓库模型设计、ETL开发及多维模型设计；7. 应用相关人工智能软件框架进行模型训练与调优；8. 推动 AI 技术在业务场景中的落地与迭代；9.研发机器学习、深度学习算法模型。年龄要求：35岁以下学历/专业：本科及以上/计算机网络相关专业、编程开发相关专业 专业技能：网络软硬件、BI数据分析、RPA机器人编程、研发机器学习、深度学习算法模型相关经验：网络运维、BI分析报表、RPA开发、 AI 框架及模型部署等相关经验 语言要求：大学英语4级以上 电脑技能：能熟练使用BI、RPA及相关编码等软件性格要求：性格开朗，具有良好的团队合作精神，善于学习 其他要求：无 优选条件：有3年以上工作经验
数据标注/AI训练师-影视视觉、游戏设计方向均可,外企德科数字技术有限公司,1.5-2.5万,北京·海淀·中关村,经验不限,本科,合资,10000人以上,软件/IT服务,,"职位描述 1、深度参与大模型前沿方向的数据工作,重点负责模型的数据标注与管理,模型效果评估; 2、建设视频生成大模型的数据生产和质量提升流程,建设起行业领先的数据生产标准; 3、建立科学的模型效果评估方案与策略,保证对模型效果的正正确评估,助力模型效果达到业内一流; 4、深入理解业务场景、市场动态和大模型技术趋势,牵引数居团队和算法团队的深度融合。 职位要求： 教育背景：影视编导、视觉传达设计、电影学、游戏设计等影视视觉方向。 方向1:懂影视专业术语（运镜、景别、镜头视角），理解光线、色彩、风格等基础美学知识。 方向2:游戏设计、游戏策划相关工作经验；有较丰富工作经验的游戏发烧友。 两个方向符合其一即可投递 加分项：一定的视频模型生成经验或者标注经历，对AI技术有基础认知、能进行基础的带教和管培工作,具有较强的自驱力,能够吸收理解业务规则并制定sop。 具有较好的表达能力和团队协同能力,具备一定的抗风险能力。能够根据业务需要制定相关提效or自动化方案。 具备小团队管理经验者优先,能够统筹协调团队资源,驱动团队达成目标。"
AI Agent 全栈开发,北京思云博智科技有限公司,1.5-2.3万,北京,1-3年,本科,20-99人,软件/IT服务,,,职位描述 【关于我们】我们是一支处于高速发展阶段的创业团队，正致力于探索和构建下一代 AI Agent 智能体产品。在这里，你将不是一颗螺丝钉，而是核心成员之一。我们提供优厚且具有竞争力的薪资待遇，你将与我们共同经历产品从0到1的完整旅程，将最前沿的AI技术转化为颠覆性的用户体验，并定义智能体与人类协作的未来。如果你对AI充满热忱，渴望在浪潮之巅创造未来，我们期待你的加入！【你将负责】1. 核心开发：深入参与AI Agent产品的核心架构设计与全栈开发，攻克关键技术挑战。2. 产品共建：全程参与产品从概念到落地的完整闭环，包括技术方案制定、原型开发和快速迭代，将你的想法注入产品基因。3. 体验优化：与产品和设计团队紧密协作，将你对UI/UX的深刻理解和国际化审美，转化为流畅、直观、一流的用户体验。4. 技术探索：保持对行业的高度敏感，追踪AI及Agent领域的最新动态，探索并推动前沿技术在产品中的创新应用。【我们希望你】必要条件：1. 教育背景：计算机科学、软件工程、人工智能等相关专业，本科或硕士生（985、211、USNews/QS Top 100院校背景优先）2. 技术栈：具备扎实的软件工程基础，能熟练运用 React/Next.js 与 Python 技术栈，并能够在指导下独立完成模块的全栈开发与联调。3. 个人特质：对技术充满热忱，具备广阔的视野、创新精神和独立思考能力；乐于在快速变化的环境中自我驱动，享受与创业团队一起探索未知，并拥有强烈的主人翁精神和责任感。4. 产品与设计感：拥有出色的产品感和用户导向思维，具备国际化的设计视野和审美，对UI/UX有体系化的理解，并善于吸收海内外优秀设计。加分项 (满足任一项都将是巨大优势)：1. Agent与LLM核心技术：对Agent或AI应用开发有实际经验，熟悉LangChain/LangGraph等主流框架，并对RAG、提示工程、向量数据库等LLM核心技术有深入理解或实践。2. 自动化与工作流编排：具备端到端自动化开发经验（如Playwright、Computer Use），熟悉n8n/Dify等工作流编排平台或有自研编排器经验者优先。3. 前端工程与可视化：在前端领域有深入探索，尤其在可视化编辑器（如ReactFlow/GrapesJS）、前端可观测性（Tracing/Logging）等方面有实践经验。4. AI原生开发实践：是Cursor等AI编程工具的重度用户，在利用AI提升研发效率、沉淀“AI结对编程”最佳实践方面有深入探索。岗位福利：1.我们提供优厚且具有竞争力的薪资待遇。2.依法缴纳五险一金，享受国家法定节假日。3.带薪年假、病假、婚假、产假等各项福利假期。4.节日慰问福利、员工聚餐团建、电话费补助等。5.岗前及在岗技能培训，工作稳定有保障。
ai架构师（业务流程ai梳理优化）,北京悦琦创通科技有限公司,1.5-2.5万,北京·大兴·荣华街道,经验不限,本科,PROMPT工程 优化AI工作流,数据仓库,WORKBUDDY,,"职位描述 核心职责 1. **业务流理解与抽象** - 深度理解BDSS/CDSS业务流，与老板高频沟通，准确捕捉业务设计意图 - 将业务流程抽象为结构化模型，形成可信息化落地的方案 2. **AI工作流搭建与落地** - 使用Coze（扣子）/ WorkBuddy / DIFY等AI工作流平台，将业务流转化为自动化、智能化的信息系统 - 负责Prompt工程、知识库构建、RAG检索优化、智能体设计 3. **信息化平台迭代优化** - 持续收集用户反馈，优化AI工作流的准确性、稳定性、用户体验 - 推动系统从Demo到生产环境的完整落地 4. **跨部门协作** - 作为老板与执行团队之间的桥梁，确保业务意图在系统层面精准还原 - 协助培训内部团队使用新系统 ## 任职要求（必备） - 本科及以上学历，计算机/系统工程/数据科学/信息管理等相关专业优先- **有以下至少一项直接经验**： - 使用过Coze、DIFY、WorkBuddy等AI工作流/智能体平台（强烈加分） - 有RAG、知识图谱、Prompt工程、大模型应用落地经验 - 有业务信息化系统从0到1的搭建经验- 具备优秀的业务理解能力和抽象思维能力——能听懂""业务语言""并转化为""系统语言""- 学习能力强，能快速掌握新工具、新平台- 自驱力强，能主动发现问题并推动解决"
Java开发-AI项目,上海微创软件股份有限公司,1.3-1.4万,北京·朝阳·酒仙桥,3-5年,本科,JavaScript,MySQL,合资,,"职位描述 工作职责：""1、负责或参与百度智能云AI原生应用内容审核后端研发，包括公有云AI原生应用产品开发运维及TOB项目交付需求研发2、负责或参与端到端软件系统设计与研发工作，包括需求分析、设计编码、部署测试、性能优化、文档编写等3、关注AI原生应用和大模型行业动态，进行技术预研，提升产品竞争力 职要求： ""1、本科及以上学历，计算机、软件工程、数学等相关专业，3年以上工作经验优先 2、扎实的编程基础，良好的编码习惯，熟练掌握Java、GO、Python等至少一门语言 3、熟悉掌握后端开发技术：协议、框架、并发、缓存、数据库、文件存储等，对相关原理有较深入的理解 4、熟悉k8s/docker等云原生相关技术优先，熟悉使用coding agent编程者优先 5、工作态度积极，责任心强，善于思考，对技术有激情，有良好的产品意识，有良好的团队沟通与协作能力"""
北京python爬虫工程师（wai包）AI,郑州海奥软件科技有限公司,1-1.7万,北京·西城·新街口,3-5年,本科,Flask,DOCKER容器化,AIAGENT,,职位描述 岗位职责：1.负责LLM大模型API对接，实现文本纠错、摘要生成、流式对话（SSE）等功能2.迭代ReActAgent框架，开发ToolCalling工具链，扩展智能对话能力3.负责FlaskRESTfulAPI的设计与开发，与前端及Java微服务联调4.编写Docker部署配置，维护服务的容器化部署与运维5.参与会话管理、Memory摘要、JWT认证等模块的开发任职资格：1.2年以上Python后端开发经验，Python基础扎实，熟练使用AI编程（必须条件）。统招本科以上。2.熟练使用Flask或FastAPI等Web框架开发RESTfulAPI3.熟悉OpenAISDK或其他LLMAPI的调用方式（流式输出、ToolCalling/FunctionCalling）4.熟悉MySQL数据库操作（PyMySQL或SQLAlchemy）5.熟悉Docker容器化部署，能编写Dockerfile和docker-compose6.良好的代码组织能力，能独立设计模块化的Python项目结构加分项-有AIAgent开发经验（ReAct模式、ToolCalling、多轮对话编排）-有LLM应用开发经验（PromptEngineering、RAG、Memory/摘要管理）-有MinIO或S3兼容对象存储使用经验-有SSE（Server-SentEvents）实时流式推送开发经验
AI前沿技术研究应用分析师,江苏基久网络科技有限公司北京分公司,2.5-3万·13薪,北京·丰台·太平桥,3-5年,本科,AI技术研究,其它,100-299人,,职位描述 职位描述 岗位职责： 1.基于对运营商行业业务逻辑（如渠道管理、客户服务、产销品知识）的深刻理解，识别并定义高价值AI应用场景，提出创新的、可落地的解决方案建议。 2.深入分析“门店宝”、“AI客户助理”、“智能客服”等重点业务场景的痛点，将模糊的业务需求转化为清晰的AI技术需求（如：知识库应如何分级、智能体需具备何种对话能力）。 3.主导设计符合“数据不出域”等安全合规要求的多级（集团、省、地市）权限架构与知识库管理体系，并输出详细的技术方案。 4.协同大模型算法团队，规划智能体能力的低代码化封装方案，将复杂模型能力转化为业务人员可配置、可编排的模块，提升规模化部署效率。 5.撰写高质量的技术PRD、优秀案例报告，清晰阐述技术原理、业务场景与商业价值，推动各方达成共识。 6.在智能体试点与推广过程中，设计数据监控看板的核心指标（如调用量、召回率、用户满意度），建立效果评估体系，跟踪分析应用效果，并驱动持续迭代优化。 7.建立与省级公司的赋能对接机制，包括需求响应、问题诊断、知识沉淀与案例复制，确保AI应用在各省的顺利落地与价值实现。 岗位要求： 1.本科及以上学历，计算机、人工智能、数据科学等相关专业，3 年以上 AI 技术研究或应用分析经验，熟悉 NLP、机器学习、多模态等主流 AI 技术原理及发展趋势，熟悉运营商行业。 2. 具备较强的技术敏感度，能持续跟踪国内外 AI 前沿进展，包括论文、开源框架、行业案例等，并能提炼关键技术突破点。 3. 有企业业务场景结合经验，能将 AI 技术与具体业务需求结合，分析潜在应用场景，提出可落地的改进建议或创新方案。 4. 优秀的报告撰写能力，能独立输出结构清晰、逻辑严谨的前瞻性应用报告，内容需包含技术解读、场景分析、价值评估等。 5. 具备良好的沟通协调能力和团队协作精神，能与业务部门、技术团队有效对接，推动 AI 应用思路的落地讨论。 6. 有成功将 AI 技术转化为企业实际价值案例者优先，熟悉特定行业业务逻辑者优先。
AI数据标注师,北京三山暖阳科技有限公司,200-400元/天,北京·朝阳·小关,经验不限,,图像标注,语音标注,音频标注,,职位描述 您好同学，欢迎关注AI数据标注领域，各方面专业人士均可以参加，学生实习，兼职，全职，根据项目要求均有需求。 月结，按量/小时结算。方言类普通标注类(无学历限制）25-30元/小时，特殊专业类(小语种理工文双一流研究生）40-50元/小时 参与流程：简历评审->试标->签合同和任务书确认(结算方式和工作量要求）->正式作业。特殊说明: 即使没有合适的项目最好也投简历进入资源池，有合适项目时可以第一时间匹配。——愿你当下安好，愿你心中有光。
ai训练师/数据标注,京北方,8000-14000元,北京·朝阳,1-3年,本科,语音标注,民营,10000人以上,最佳雇主,职位描述 岗位内容：1. 根据项目需求，负责数据标注、分类、标签制作等工作；2. 维护数据标注质量并改进标注流程；3. 及时响应客户需求，满足客户标注要求。任职要求： 1. 具备基本电脑操作技能以及网络资源的查找和使用能力；2. 具备良好的文字表达能力和沟通协调能力；3. 对细节敏感，具备较强的责任心和工作意识；4. 具备耐心细致的工作态度和团队合作精神。
资深Python爬虫工程师（AI接口数据采集与封装方向）,大连市比尔黛西网络科技有限公司,1.2-1.5万,北京·海淀·马连洼,1-3年,,反爬虫,Selenium,SCRAPPY,,职位描述 居家远程，线上办公【岗位职责】AI接口数据采集：负责研究、开发和维护针对主流AI模型的接口数据爬取方案，包括但不限于请求参数分析、加密算法破解、动态数据抓取等。API封装：将爬取到的数据进行清洗、结构化，并封装成稳定、高效、可扩展的API服务，供内部系统或客户使用。反爬机制对抗：深入研究和应对各类反爬机制（如风控、Token验证、IP封锁等），保障数据采集的稳定性和持续性。精通Python：具备扎实的Python编程基础，熟悉常用库（如requests、selenium、scrappy等），并有丰富的项目实战经验。AI接口经验：有爬取过AI模型（如OpenAI、Claude等）接口的实际经验，熟悉其接口调用逻辑和数据传输协议。
