岗位名称,公司名称,薪资范围,工作城市,经验要求,学历要求,公司性质,公司规模,公司行业,公司标签,职位描述
数据标注 / AI 训练师（朝九晚六不熬夜 +地铁直达）,濮阳市育德电子科技有限公司,6000-10000元,北京·朝阳·东湖,1-3年,本科,民营,100-299人,教育科技/教育软件,,职位描述 岗位职责 按照要求对图片、文本、语音等数据进行整理、标注和归类 协助完成 AI 模型相关的数据处理、校对与优化工作 简单核对数据准确性，及时上报遇到的问题 配合团队完成日常数据任务，按时保质交付工作 完成上级安排的其他与数据、AI 训练相关的基础工作 岗位要求 年龄 22–29 岁，本科及以上学历，专业不限 会熟练使用电脑，做事认真细心，有耐心 学习能力强，能快速上手工作，接受统一培训 工作踏实稳定，有责任心，团队意识强 无经验也可，对 AI、人工智能感兴趣优先 工作时间 9:00–18:00，午休 1 小时，周末双休，法定节假日正常休息，无夜班、不倒班薪资待遇 综合薪资：6000–10000 元 / 月（底薪 + 绩效 + 全勤 + 项目奖金 + 年终奖）员工福利 入职即缴纳五险一金，额外享有补充医疗，保障齐全 餐补、交通补贴、通讯补贴每月都有，收入更实在 带薪年假、婚假、产假等法定假期齐全，不扣薪 节日福利、生日礼金、年度免费体检、定期团建 带薪岗前培训 + 一对一带教，零基础也能快速上手 晋升通道清晰：专员→质检→组长→主管，发展稳定 团队年轻氛围好，无内卷、无强制加班，工作轻松稳定
北京python爬虫工程师（wai包）AI,郑州海奥软件科技有限公司,1-1.7万,北京·西城·新街口,3-5年,本科,民营,100-299人,软件/IT服务,,职位描述 岗位职责：1.负责LLM大模型API对接，实现文本纠错、摘要生成、流式对话（SSE）等功能2.迭代ReActAgent框架，开发ToolCalling工具链，扩展智能对话能力3.负责FlaskRESTfulAPI的设计与开发，与前端及Java微服务联调4.编写Docker部署配置，维护服务的容器化部署与运维5.参与会话管理、Memory摘要、JWT认证等模块的开发任职资格：1.2年以上Python后端开发经验，Python基础扎实，熟练使用AI编程（必须条件）。统招本科以上。2.熟练使用Flask或FastAPI等Web框架开发RESTfulAPI3.熟悉OpenAISDK或其他LLMAPI的调用方式（流式输出、ToolCalling/FunctionCalling）4.熟悉MySQL数据库操作（PyMySQL或SQLAlchemy）5.熟悉Docker容器化部署，能编写Dockerfile和docker-compose6.良好的代码组织能力，能独立设计模块化的Python项目结构加分项-有AIAgent开发经验（ReAct模式、ToolCalling、多轮对话编排）-有LLM应用开发经验（PromptEngineering、RAG、Memory/摘要管理）-有MinIO或S3兼容对象存储使用经验-有SSE（Server-SentEvents）实时流式推送开发经验
AI视频剪辑（会可灵）,河南牛人设计网络科技有限公司,6000-9000元,北京·海淀,经验不限,,民营,100-299人,互联网电商,,职位描述 时间自由，欢迎加入我们 1. 公司自己订单，视频剪辑订单。 2. 电商店铺稳定订单 3. 能对客户认真负责 4、热爱剪辑视频 岗位职责： 1、根据短视频、品牌宣传片、商业广告等不同项目需求，独立运用AI剪辑工具结合专业剪辑软件，完成从素材筛选、精剪拼接、调色配乐到成片输出的全流程制作工作； 2、熟练运用各类AI剪辑核心功能提升制作效率与作品质感，确保成片画面流畅、音频清晰、字幕准确，符合品牌调性及平台发布规范 3、负责AI生成原始素材的优化处理，解决素材一致性、逻辑跳跃等问题，通过剪辑技巧实现AI素材与传统拍摄素材的无缝融合； 4、跟进行业AI剪辑技术动态，主动探索新的AI剪辑工具（如Midjourney、Stable Diffusion、即梦、豆包、可灵、海螺、星流、Vldu、Runway等）及应用技巧，优化工作流，提升产出效率。
AI应用工程师-森特环科,森特士兴,1-2万,北京·通州·马驹桥,3-5年,本科,上市公司,1000-9999人,装饰装修,优选雇主,职位描述 岗位职责：1、AI应用与业务落地-- 负责AI技术在业务系统中的工程化落地，通过调用或集成成熟的AI模型解决实际业务问题。-- 参与数据处理与特征提取，将AI能力封装为稳定可靠的服务接口，打通模型到业务的全链路。2、服务端与物联网系统开发-- 主导物联网（IoT）平台或业务系统的后端研发，基于Java技术栈完成核心模块的设计与编码。-- 负责线上服务的运维管理、第三方系统对接及问题排查。-- 梳理与输出过程文档（需求文档、设计文档、接口文档、测试报告等），确保知识沉淀。3、项目与风险管理-- 推进研发项目进度，攻克AI模型集成与系统高并发处理中的工程化技术难题。-- 定位并解决系统在商用化过程中的功能、性能及可靠性瓶颈。4、技术探索与创新-- 持续跟踪AI应用开发层面的前沿技术（如大模型调用、RAG等），探索其在物联网及行业业务中的落地场景。任职要求：1、教育与经验：-- 本科及以上学历，计算机、软件工程、自动化或相关专业。-- 5年以上后端开发经验，具备物联网（IoT）系统建设及架构设计经验。2、专业技能：-- 以 Java 技术栈为主，精通主流微服务框架及后端组件；具备扎实的系统架构和业务建模能力。-- 以 Python 或 C++ 为辅，了解基本的算法概念与逻辑，能够熟练使用开源库加载、部署和调用成熟的AI模型。-- 熟练操作 Linux 环境，具备 Docker/Kubernetes 等容器化部署经验，熟悉关系型与非关系型数据库。3、加分项：-- 熟悉工业现场通信协议（如 MQTT、OPC UA、Modbus），有边缘计算或边缘AI硬件对接经验。-- 具备AI应用层开发经验（如熟悉大模型API接入、Prompt工程等）。-- 具备强烈的自驱力与责任心，拥有出色的结构化思维、学习能力及团队协作精神。-- 有相关的行业应用经验。
资深Python爬虫工程师（AI接口数据采集与封装方向）,大连市比尔黛西网络科技有限公司,1.2-1.5万,北京·海淀·马连洼,1-3年,,20-99人,产业互联网平台,,,职位描述 居家远程，线上办公【岗位职责】AI接口数据采集：负责研究、开发和维护针对主流AI模型的接口数据爬取方案，包括但不限于请求参数分析、加密算法破解、动态数据抓取等。API封装：将爬取到的数据进行清洗、结构化，并封装成稳定、高效、可扩展的API服务，供内部系统或客户使用。反爬机制对抗：深入研究和应对各类反爬机制（如风控、Token验证、IP封锁等），保障数据采集的稳定性和持续性。精通Python：具备扎实的Python编程基础，熟悉常用库（如requests、selenium、scrappy等），并有丰富的项目实战经验。AI接口经验：有爬取过AI模型（如OpenAI、Claude等）接口的实际经验，熟悉其接口调用逻辑和数据传输协议。
Java开发-AI项目,上海微创软件股份有限公司,1.3-1.4万,北京·朝阳·酒仙桥,3-5年,本科,合资,10000人以上,软件/IT服务,,"职位描述 工作职责：""1、负责或参与百度智能云AI原生应用内容审核后端研发，包括公有云AI原生应用产品开发运维及TOB项目交付需求研发2、负责或参与端到端软件系统设计与研发工作，包括需求分析、设计编码、部署测试、性能优化、文档编写等3、关注AI原生应用和大模型行业动态，进行技术预研，提升产品竞争力 职要求： ""1、本科及以上学历，计算机、软件工程、数学等相关专业，3年以上工作经验优先 2、扎实的编程基础，良好的编码习惯，熟练掌握Java、GO、Python等至少一门语言 3、熟悉掌握后端开发技术：协议、框架、并发、缓存、数据库、文件存储等，对相关原理有较深入的理解 4、熟悉k8s/docker等云原生相关技术优先，熟悉使用coding agent编程者优先 5、工作态度积极，责任心强，善于思考，对技术有激情，有良好的产品意识，有良好的团队沟通与协作能力"""
数据标注/AI训练师-影视视觉、游戏设计方向均可,外企德科数字技术有限公司,1.5-2.5万,北京·海淀·中关村,经验不限,本科,合资,10000人以上,软件/IT服务,,"职位描述 1、深度参与大模型前沿方向的数据工作,重点负责模型的数据标注与管理,模型效果评估; 2、建设视频生成大模型的数据生产和质量提升流程,建设起行业领先的数据生产标准; 3、建立科学的模型效果评估方案与策略,保证对模型效果的正正确评估,助力模型效果达到业内一流; 4、深入理解业务场景、市场动态和大模型技术趋势,牵引数居团队和算法团队的深度融合。 职位要求： 教育背景：影视编导、视觉传达设计、电影学、游戏设计等影视视觉方向。 方向1:懂影视专业术语（运镜、景别、镜头视角），理解光线、色彩、风格等基础美学知识。 方向2:游戏设计、游戏策划相关工作经验；有较丰富工作经验的游戏发烧友。 两个方向符合其一即可投递 加分项：一定的视频模型生成经验或者标注经历，对AI技术有基础认知、能进行基础的带教和管培工作,具有较强的自驱力,能够吸收理解业务规则并制定sop。 具有较好的表达能力和团队协同能力,具备一定的抗风险能力。能够根据业务需要制定相关提效or自动化方案。 具备小团队管理经验者优先,能够统筹协调团队资源,驱动团队达成目标。"
ai训练师/数据标注,京北方,8000-14000元,北京·朝阳,1-3年,本科,民营,10000人以上,软件/IT服务,最佳雇主,职位描述 岗位内容：1. 根据项目需求，负责数据标注、分类、标签制作等工作；2. 维护数据标注质量并改进标注流程；3. 及时响应客户需求，满足客户标注要求。任职要求： 1. 具备基本电脑操作技能以及网络资源的查找和使用能力；2. 具备良好的文字表达能力和沟通协调能力；3. 对细节敏感，具备较强的责任心和工作意识；4. 具备耐心细致的工作态度和团队合作精神。
AI数据标注师,北京三山暖阳科技有限公司,200-400元/天,北京·朝阳·小关,经验不限,,民营,20人以下,人工智能,,职位描述 您好同学，欢迎关注AI数据标注领域，各方面专业人士均可以参加，学生实习，兼职，全职，根据项目要求均有需求。 月结，按量/小时结算。方言类普通标注类(无学历限制）25-30元/小时，特殊专业类(小语种理工文双一流研究生）40-50元/小时 参与流程：简历评审->试标->签合同和任务书确认(结算方式和工作量要求）->正式作业。特殊说明: 即使没有合适的项目最好也投简历进入资源池，有合适项目时可以第一时间匹配。——愿你当下安好，愿你心中有光。
AI前沿技术研究应用分析师,江苏基久网络科技有限公司北京分公司,2.5-3万·13薪,北京·丰台·太平桥,3-5年,本科,其它,100-299人,通信/网络设备,,职位描述 职位描述 岗位职责： 1.基于对运营商行业业务逻辑（如渠道管理、客户服务、产销品知识）的深刻理解，识别并定义高价值AI应用场景，提出创新的、可落地的解决方案建议。 2.深入分析“门店宝”、“AI客户助理”、“智能客服”等重点业务场景的痛点，将模糊的业务需求转化为清晰的AI技术需求（如：知识库应如何分级、智能体需具备何种对话能力）。 3.主导设计符合“数据不出域”等安全合规要求的多级（集团、省、地市）权限架构与知识库管理体系，并输出详细的技术方案。 4.协同大模型算法团队，规划智能体能力的低代码化封装方案，将复杂模型能力转化为业务人员可配置、可编排的模块，提升规模化部署效率。 5.撰写高质量的技术PRD、优秀案例报告，清晰阐述技术原理、业务场景与商业价值，推动各方达成共识。 6.在智能体试点与推广过程中，设计数据监控看板的核心指标（如调用量、召回率、用户满意度），建立效果评估体系，跟踪分析应用效果，并驱动持续迭代优化。 7.建立与省级公司的赋能对接机制，包括需求响应、问题诊断、知识沉淀与案例复制，确保AI应用在各省的顺利落地与价值实现。 岗位要求： 1.本科及以上学历，计算机、人工智能、数据科学等相关专业，3 年以上 AI 技术研究或应用分析经验，熟悉 NLP、机器学习、多模态等主流 AI 技术原理及发展趋势，熟悉运营商行业。 2. 具备较强的技术敏感度，能持续跟踪国内外 AI 前沿进展，包括论文、开源框架、行业案例等，并能提炼关键技术突破点。 3. 有企业业务场景结合经验，能将 AI 技术与具体业务需求结合，分析潜在应用场景，提出可落地的改进建议或创新方案。 4. 优秀的报告撰写能力，能独立输出结构清晰、逻辑严谨的前瞻性应用报告，内容需包含技术解读、场景分析、价值评估等。 5. 具备良好的沟通协调能力和团队协作精神，能与业务部门、技术团队有效对接，推动 AI 应用思路的落地讨论。 6. 有成功将 AI 技术转化为企业实际价值案例者优先，熟悉特定行业业务逻辑者优先。
AI后端开发工程师,南京迈特望科技股份有限公司,9000-12000元,北京·西城·金融街,1-3年,本科,股份制企业,1000-9999人,软件/IT服务,优选雇主,职位描述 【学历及专业】计算机、统计学、应用数学、电力电气、电子信息、信息通信等相关专业本科及以上学历【工作经验】2年以上Python后端开发或数据工程经验；熟悉知识库、RAG、智能体相关项目开发与落地【工作内容】1.负责智能算法脚本开发与优化；2.参与数据清洗、转换、汇总的自动化实现；3.支持问题发现与整改过程中的技术实现；4.参与推广应用验证及适应性优化；5.配合完成技术文档编写与成果交付。【技能要求】1.精通 Python 编程，熟练运用 Python 语法及各类常用库；2.熟练掌握 Django、FastAPI、Flask 等 Python流框架，精通Restful API 设计规范3.精通RAG项目开发，熟练掌握机器学习、深度学习技术及MCP工具，擅长提示词优化、NLP 智能问答、LangChain等核心技术应用。
